mp_id,formula,composition,crystal_system,symmetry_symbol,volume,density,e_fermi,formation_energy_per_atom,band_gap,bandgap_direct
mp-1007918,DyAu,"{'Dy': 1, 'Au': 1}",Orthorhombic,Cmcm,93.99368884072496,12.701028937647992,4.39842098,-0.8836150849999997,0.0,False
mp-1005789,Sm2(Ga3Co)3,"{'Sm': 2, 'Ga': 9, 'Co': 3}",Orthorhombic,Cmcm,453.38722177225856,8.094360519696323,4.4071197,-0.4823290298214284,0.0,False
mp-10047,Ca5As3,"{'Ca': 5, 'As': 3}",Hexagonal,P6_3/mcm,423.6448275609784,3.3329152574199283,3.88864381,-1.1083260424999999,0.0,False
mp-10046,V2AsC,"{'V': 2, 'As': 1, 'C': 1}",Hexagonal,P6_3/mmc,94.50801261933874,6.635102640125599,7.61077635,-0.5333241193750009,0.0,False
mp-10004,Mo3P,"{'Mo': 3, 'P': 1}",Tetragonal,I-42m,231.5514401889818,9.144741152243927,9.47106402,-0.3499082383333345,0.0,False
mp-1001835,LiB,"{'Li': 1, 'B': 1}",Hexagonal,P6_3/mmc,43.101252101967226,1.3678437666054608,3.60295514,-0.16582155625000006,0.0,False
mp-1008626,VTe2,"{'V': 1, 'Te': 2}",Trigonal,P-3m1,80.48661220464615,6.31608048509934,6.00543936,-0.5893001077777787,0.0,False
mp-1008833,NpN2,"{'Np': 1, 'N': 2}",Cubic,Fm-3m,35.64113318795285,12.347113138962703,11.09577181,-1.1939974129166682,0.0,False
mp-1003314,KMn2O4,"{'K': 1, 'Mn': 2, 'O': 4}",Triclinic,P-1,94.53310523964342,3.7409996063287942,1.8658176,-1.9684858105517244,0.0,False
mp-1002133,LaGa,"{'La': 1, 'Ga': 1}",Orthorhombic,Cmcm,111.81057976745174,6.196832635346626,6.00823503,-0.5917099562499999,0.0,False
mp-10033,NbS2,"{'Nb': 1, 'S': 2}",Hexagonal,P6_3/mmc,124.07739745121462,4.203264240289562,3.52598139,-1.3491724370833325,0.0,False
mp-10026,ScTe,"{'Sc': 1, 'Te': 1}",Hexagonal,P6_3/mmc,103.3207634237463,5.546529536829515,7.15020186,-1.388611533333333,0.0,False
mp-1001787,LiRh3,"{'Li': 1, 'Rh': 3}",Orthorhombic,Imm2,53.05856687341958,9.878925144468527,5.24584483,-0.13605988333333308,0.0,False
mp-10056,UCo3B2,"{'U': 1, 'Co': 3, 'B': 2}",Hexagonal,P6/mmm,63.88712022470866,11.344119049900607,9.2533251,-0.44174801722222173,0.0,False
mp-1002123,KZrS2,"{'K': 1, 'Zr': 1, 'S': 2}",Trigonal,R-3m,89.98310495837228,3.5884029661968233,4.33802879,-1.7448545073124997,0.0,False
mp-10010,Al(CoSi)2,"{'Al': 1, 'Co': 2, 'Si': 2}",Trigonal,P-3m1,60.102894281089185,5.5538054873906955,9.14765148,-0.5105172420000003,0.0,False
mp-1001,BaN2,"{'Ba': 1, 'N': 2}",Monoclinic,C2/c,112.76116763626706,4.869658575599328,3.78572257,-0.7528921150000004,0.0,False
mp-1001615,LiZrSe2,"{'Li': 1, 'Zr': 1, 'Se': 2}",Trigonal,P-3m1,80.58544136217374,5.276873088764459,4.74425547,-1.5901982895052083,0.0,False
mp-10000,Hf2S,"{'Hf': 2, 'S': 1}",Hexagonal,P6_3/mmc,115.53745581748092,11.182943515494184,6.51272561,-1.1958875460416667,0.0,False
mp-1002136,LaAu,"{'La': 1, 'Au': 1}",Orthorhombic,Cmcm,110.60465468780858,10.085084460727936,7.23998722,-0.8244094649999996,0.0,False
mp-1003638,NaMn8O16,"{'Na': 1, 'Mn': 8, 'O': 16}",Monoclinic,P2/c,545.3296658813019,4.3755977503590975,2.30730988,-1.8778635123999994,0.0,False
mp-1006399,CeZnIn,"{'Ce': 1, 'Zn': 1, 'In': 1}",Hexagonal,P6_3/mmc,144.9796883369276,7.33815988037758,6.48064936,-0.3425416300000001,0.0,False
mp-1008865,NdCd2,"{'Nd': 1, 'Cd': 2}",Hexagonal,P6/mmm,76.7202206412194,7.988053018533677,2.87491842,-0.33872077250000004,0.0,False
mp-1001612,LuSi,"{'Lu': 1, 'Si': 1}",Orthorhombic,Cmcm,79.80830900487094,8.449661771438299,5.50369871,-0.7641456900000003,0.0,False
mp-1005955,Tm3Ni7B2,"{'Tm': 3, 'Ni': 7, 'B': 2}",Hexagonal,P6_3/mmc,311.68364045616454,10.008279710458991,6.45920643,-0.5463056161111114,0.0,False
mp-1001603,LuNiC2,"{'Lu': 1, 'Ni': 1, 'C': 2}",Orthorhombic,Amm2,45.43571465465981,9.417496762272762,6.47357177,-0.34393902374999996,0.0,False
mp-1006328,LiCeSn,"{'Li': 1, 'Ce': 1, 'Sn': 1}",Hexagonal,P6_3mc,595.0680511692209,5.93298847412104,6.00934685,-0.531441001527778,0.0,False
mp-1001614,LuCoC2,"{'Lu': 1, 'Co': 1, 'C': 2}",Orthorhombic,Amm2,44.81684747521723,9.556425959102052,5.51971252,-0.36411429500000025,0.0,False
mp-1006278,AcEuAu2,"{'Ac': 1, 'Eu': 1, 'Au': 2}",Cubic,Fm-3m,111.26073853476328,11.535299055302662,4.88702269,-0.7876447656250001,0.0,False
mp-1003764,K3Mn4O8,"{'K': 3, 'Mn': 4, 'O': 8}",Triclinic,P1,779.4353994690598,3.9629756312672564,2.71013186,-1.9604772792149419,0.0,False
mp-1007786,HfIr,"{'Hf': 1, 'Ir': 1}",Monoclinic,P2_1/m,72.26040876260622,17.03764111781878,6.74352535,-0.9479872649999983,0.0,False
mp-10098,YGeAu,"{'Y': 1, 'Ge': 1, 'Au': 1}",Hexagonal,P6_3mc,125.51570207329775,9.486046252015786,5.88817074,-0.8370401438888884,0.0,False
mp-10123,Ni21(B3Sb)2,"{'Ni': 21, 'B': 6, 'Sb': 2}",Cubic,Fm-3m,296.03232217181557,8.643662078867797,9.0158008,-0.2768003225862068,0.0,False
mp-1005690,Sm2Co12P7,"{'Sm': 2, 'Co': 12, 'P': 7}",Hexagonal,P-6,258.39011104644806,7.870733768255685,7.70006168,-0.7715570220634915,0.0,False
mp-1007758,HfCd,"{'Hf': 1, 'Cd': 1}",Tetragonal,P4/nmm,85.08095310738265,11.355126085701809,4.02397319,-0.06936565249999926,0.0,False
mp-1002115,LaPd,"{'La': 1, 'Pd': 1}",Orthorhombic,Cmcm,102.44014052110015,7.9533769652160435,7.57973019,-0.8317810274999999,0.0,False
mp-10032,Ge2Os,"{'Ge': 2, 'Os': 1}",Monoclinic,C2/m,94.3931109418152,11.804409382764906,8.1768512,-0.08337287499999964,0.0,False
mp-1080606,La(SiPt)2,"{'La': 1, 'Si': 2, 'Pt': 2}",Tetragonal,P4/nmm,182.9778133048241,10.622285712067693,8.69955576,-1.094649734,0.0,False
mp-1078462,BaMg4Ge3,"{'Ba': 1, 'Mg': 4, 'Ge': 3}",Tetragonal,P4/mmm,187.5548358859692,4.00597044751278,3.35984676,-0.40020781562499996,0.0,False
mp-1105548,Pr5Bi3,"{'Pr': 5, 'Bi': 3}",Hexagonal,P6_3/mcm,529.554645016495,8.350313471544421,4.77267044,-0.7966484375,0.0,False
mp-1102210,DyRe2,"{'Dy': 1, 'Re': 2}",Hexagonal,P6_3/mmc,222.79229670305335,15.947509988734705,5.65022187,-0.2225605899999993,0.0,False
mp-1080453,NdAsRuO,"{'Nd': 1, 'As': 1, 'Ru': 1, 'O': 1}",Tetragonal,P4/nmm,142.31989937879837,7.846099307505451,5.31683687,-2.0171498153125,0.0,False
mp-1079613,Sm(GeIr)2,"{'Sm': 1, 'Ge': 2, 'Ir': 2}",Tetragonal,P4/nmm,180.7196959481032,12.497690849404965,6.76901413,-0.7808500430000003,0.0,False
mp-1078225,BaLaSi2,"{'Ba': 1, 'La': 1, 'Si': 2}",Orthorhombic,Cmcm,238.22556482749124,4.63400263702264,5.74236789,-0.5612795212500004,0.0,False
mp-1079601,ThGaNi,"{'Th': 1, 'Ga': 1, 'Ni': 1}",Hexagonal,P-62m,170.96069021273738,10.503269116696844,7.10204477,-0.6399012758333329,0.0,False
mp-1103807,Eu(GaTe2)2,"{'Eu': 1, 'Ga': 2, 'Te': 4}",Orthorhombic,Cccm,460.6153493002091,5.7811222792003525,3.96860678,-0.9673384788095234,0.0,False
mp-1077578,CeGaAg,"{'Ce': 1, 'Ga': 1, 'Ag': 1}",Orthorhombic,Imm2,136.68348572323424,7.719516583127655,5.59842937,-0.4124334513888884,0.0,False
mp-1080572,NdCoGe2,"{'Nd': 1, 'Co': 1, 'Ge': 2}",Orthorhombic,Cmcm,147.47795056403436,7.846914905506296,5.71297775,-0.6589932706250003,0.0,False
mp-1101950,SbPtSe,"{'Sb': 1, 'Pt': 1, 'Se': 1}",Cubic,P2_13,260.89446619123754,10.076840866908672,6.85725463,-0.6480308832812499,0.0,False
mp-1079245,SmPdPb,"{'Sm': 1, 'Pd': 1, 'Pb': 1}",Hexagonal,P-62m,211.58151178906527,10.924256702861207,6.01469288,-0.7300871383333332,0.0,False
mp-1079171,NdNiGe3,"{'Nd': 1, 'Ni': 1, 'Ge': 3}",Orthorhombic,Cmmm,186.70657429775883,7.486044192263436,6.23634588,-0.5975572325000001,0.0,False
mp-1077750,YbCu4Pd,"{'Yb': 1, 'Cu': 4, 'Pd': 1}",Cubic,F-43m,82.3991350093481,10.754199174010248,5.72036989,-0.3595830166666663,0.0,False
mp-1079540,La(SbPd)2,"{'La': 1, 'Sb': 2, 'Pd': 2}",Tetragonal,P4/nmm,229.5761931515051,8.611185283316297,7.95511829,-0.972483759,0.0,False
mp-1078790,DyInPt2,"{'Dy': 1, 'In': 1, 'Pt': 2}",Hexagonal,P6_3/mmc,161.0273643245644,13.766437574852429,6.4797196,-0.9588906962500001,0.0,False
mp-10763,KHgSb,"{'K': 1, 'Hg': 1, 'Sb': 1}",Hexagonal,P6_3/mmc,208.6130573726921,5.754184615912005,2.08857285,-0.42492488933333333,0.0,False
mp-1069882,LaSi3Os,"{'La': 1, 'Si': 3, 'Os': 1}",Tetragonal,I4mm,91.65861762638278,7.489241424105312,8.9236972,-0.611120287,0.0,False
