Material,Substitutions,Composition,Tc (K),Pressure (GPa),Shape,Substrate,DOI
Pr Os 4 Sb 12,{},"{'Pr': 1, 'Os': 4, 'Sb': 12}",0.74,0.0,,,10.1143/jpsj.75.124702
La Os 4 Sb 12,{},"{'La': 1, 'Os': 4, 'Sb': 12}",0.74,0.0,,,10.1143/jpsj.75.124702
La Os 4 Sb 12,{},"{'La': 1, 'Os': 4, 'Sb': 12}",0.74,0.0,,,10.1143/jpsj.75.124702
Rh 9 In 4 S 4,{},"{'Rh': 9, 'In': 4, 'S': 4}",2.25,0.0,,,10.1103/physrevb.93.094524
Rh 9 In 4 S 4,{},"{'Rh': 9, 'In': 4, 'S': 4}",2.25,0.0,,,10.1103/physrevb.93.094524
Rh 9 In 4 S 4,{},"{'Rh': 9, 'In': 4, 'S': 4}",2.25,0.0,,,10.1103/physrevb.93.094524
Rh 9 In 4 S 4,{},"{'Rh': 9, 'In': 4, 'S': 4}",2.25,0.0,,,10.1103/physrevb.93.094524
Y Ni 2 B 2 C,{},"{'Y': 1, 'Ni': 2, 'B': 2, 'C': 1}",15.4,0.0,single crystals,,10.1016/j.physc.2007.03.164
Y Ni 2 B 2 C,{},"{'Y': 1, 'Ni': 2, 'B': 2, 'C': 1}",15.4,0.0,,,10.1016/j.physc.2007.03.164
Ba Fe 2 As 2,{},"{'Ba': 1, 'Fe': 2, 'As': 2}",28.0,6.0,,,10.1103/physrevb.79.115128
La Fe As O,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1}",55.0,0.0,,,10.1103/physrevb.79.115128
La Fe As O 1-x F x,{'x': [0.11]},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 0.89, 'F': 0.11}",26.0,0.0,,,10.1103/physrevb.83.174503
K x Fe 2 Se 2,{'x': []},,30.0,0.0,,,10.1103/physrevb.83.174503
Rb x Fe 2 Se 2,{'x': []},,30.0,0.0,,,10.1103/physrevb.83.174503
Cs x Fe 2 Se 2,{'x': []},,30.0,0.0,,,10.1103/physrevb.83.174503
Tl x Fe 2 Se 2,{'x': []},,30.0,0.0,,,10.1103/physrevb.83.174503
Sm O 1-x F x Fe As 7,{'x': []},,55.0,0.0,,,10.1103/physrevb.83.174503
Ce 0.75 La 0.25 B 6,{},"{'Ce': 0.75, 'La': 0.25, 'B': 6}",1.7,0.0,,,10.1143/jpsj.72.1859
Mg B 2,{},"{'Mg': 1, 'B': 2}",42.0,0.0,,,10.1088/0953-8984/16/39/r01
