Material,Substitutions,Composition,Tc (K),Pressure (GPa),Shape,Substrate,DOI
La Fe As O 1-x F x,{'x': []},,27.0,0.0,polycrystals,,10.1088/0953-2048/23/4/043001
Al,{},{'Al': 1},1.46,0.0,,,10.1063/1.1850331
Gd Ti O 3,{},"{'Gd': 1, 'Ti': 1, 'O': 3}",28.0,0.0,,,10.1103/physrevb.63.193103
Ni 4,{},{'Ni': 4},9.8,0.0,,,10.1103/physrevb.91.014501
Ni 4,{},{'Ni': 4},10.5,0.0,,,10.1103/physrevb.91.014501
Ni 2,{},{'Ni': 2},12.0,0.0,,,10.1103/physrevb.91.014501
La O 1-x F x Fe As,{'x': []},,26.0,0.0,,,10.1103/physrevb.91.014501
Nd 1.85 Ce 0.15 Cu O 4,{},"{'Nd': 1.85, 'Ce': 0.15, 'Cu': 1, 'O': 4}",22.0,0.0,,,10.1142/9789813271142_0013
Pr 0.88 La Ce 0.12 Cu O 4,{},"{'Pr': 0.88, 'La': 1, 'Ce': 0.12, 'Cu': 1, 'O': 4}",24.0,0.0,,,10.1142/9789813271142_0013
C 60,{},{'C': 60},52.0,0.0,,,10.1088/0953-8984/22/22/222203
Tl 2 Ba 2 Cu O 6+y,{'y': []},,15.0,0.0,,,10.1088/0953-8984/22/22/222203
Rb Os 2 O 6,{},"{'Rb': 1, 'Os': 2, 'O': 6}",6.3,0.0,,,10.1103/physrevlett.96.247004
Cs Os 2 O 6,{},"{'Cs': 1, 'Os': 2, 'O': 6}",3.3,0.0,,,10.1103/physrevlett.96.247004
K Os 2 O 6,{},"{'K': 1, 'Os': 2, 'O': 6}",9.6,0.0,,,10.1103/physrevlett.96.247004
K Os 2 O 6,{},"{'K': 1, 'Os': 2, 'O': 6}",9.6,0.0,,,10.1103/physrevlett.96.247004
Ce In 3,{},"{'Ce': 1, 'In': 3}",0.2,0.0,,,10.1103/physrevb.66.054521
Ce Rh In 5,{},"{'Ce': 1, 'Rh': 1, 'In': 5}",2.1,0.0,,,10.1103/physrevb.66.054521
Ce Ir In 5,{},"{'Ce': 1, 'Ir': 1, 'In': 5}",0.4,0.0,,,10.1103/physrevb.66.054521
Ce Rh In 5,{},"{'Ce': 1, 'Rh': 1, 'In': 5}",2.1,0.0,,,10.1103/physrevb.66.054521
Nd Fe As O 0.85,{},"{'Nd': 1, 'Fe': 1, 'As': 1, 'O': 0.85}",53.5,0.0,,,10.1209/0295-5075/91/57005
Nd Fe As O 0.85,{},"{'Nd': 1, 'Fe': 1, 'As': 1, 'O': 0.85}",53.5,0.0,,,10.1209/0295-5075/91/57005
C 3,{},{'C': 3},90.0,0.0,,,
Y Ba 2 Cu 3 O 7-δ,{'δ': []},,90.0,0.0,,,
Sm O 1-x F x Fe As,{'x': []},,55.0,0.0,,,
Ce Cu 2 Ge 2,{},"{'Ce': 1, 'Cu': 2, 'Ge': 2}",2.4,0.0,,,10.1016/j.physb.2005.01.056
Fe,{},{'Fe': 1},3.0,30.0,,,10.1016/j.physb.2005.01.056
Hg Ba 2 Cu O 6,{},"{'Hg': 1, 'Ba': 2, 'Cu': 1, 'O': 6}",72.0,0.0,,,10.1146/annurev-conmatphys-031218-013210
Tl 2 Ba 2 Cu O 6,{},"{'Tl': 2, 'Ba': 2, 'Cu': 1, 'O': 6}",10.0,0.0,,,10.1146/annurev-conmatphys-031218-013210
Y Ba 2 Cu 4 O 8,{},"{'Y': 1, 'Ba': 2, 'Cu': 4, 'O': 8}",80.0,0.0,,,10.1146/annurev-conmatphys-031218-013210
Tl 2 Ba 2 Cu O 6,{},"{'Tl': 2, 'Ba': 2, 'Cu': 1, 'O': 6}",20.0,0.0,,,10.1146/annurev-conmatphys-031218-013210
Ba (Fe 1-x Co x) 2 As 2,{'x': []},,25.0,0.0,,,10.1038/nphys2478
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1088/0953-2048/16/7/310
La Fe As O 1-x F x,{'x': []},,50.0,0.0,,,10.1143/jpsjs.77sc.147
Bi 2 Te 3,{},"{'Bi': 2, 'Te': 3}",6.5,0.0,,,10.1038/ncomms14074
U C Fe Te,{},"{'U': 1, 'C': 1, 'Fe': 1, 'Te': 1}",6.5,0.0,films,,10.1038/ncomms14074
Fe Se,{},"{'Fe': 1, 'Se': 1}",100.0,0.0,thin film,SrTiO 3,10.1038/ncomms14074
Fe 1+x Te,{'x': []},,12.0,0.0,films,,10.1038/ncomms14074
Bi 2 Te 3,{},"{'Bi': 2, 'Te': 3}",12.0,0.0,films,,10.1038/ncomms14074
Bi 2 Te 3,{},"{'Bi': 2, 'Te': 3}",6.0,0.0,,,10.1038/ncomms14074
Nb 0.25 Bi 2 Se 3,{},"{'Nb': 0.25, 'Bi': 2, 'Se': 3}",2.5,0.0,single crystal,,10.1007/s10948-019-05373-5
Nb 0.25 Bi 2 Se 3,{},"{'Nb': 0.25, 'Bi': 2, 'Se': 3}",2.5,0.0,crystal,,10.1007/s10948-019-05373-5
Tb Te 3,{},"{'Tb': 1, 'Te': 3}",0.7,1.75,,,10.1103/physrevb.91.205114
Fe S Cs,{},"{'Fe': 1, 'S': 1, 'Cs': 1}",9.0,0.0,,,
Cu O 2,{},"{'Cu': 1, 'O': 2}",100.0,0.0,,,10.1103/physrevb.65.085324
Ba 2 Ca 2 Cu 3 O 6 (F O) 2,{},"{'Ba': 2, 'Ca': 2, 'Cu': 3, 'O': 8, 'F': 2}",120.0,0.0,,,10.1143/jpsj.80.043706
Ba 2 Ca 4 Cu 5 O 10 (F O) 2,{},"{'Ba': 2, 'Ca': 4, 'Cu': 5, 'O': 12, 'F': 2}",52.0,0.0,,,10.1143/jpsj.80.043706
Ba 2 Ca 4 Cu 5 O 10 (F O) 2,{},"{'Ba': 2, 'Ca': 4, 'Cu': 5, 'O': 12, 'F': 2}",52.0,0.0,,,10.1143/jpsj.80.043706
Ba 2 Ca 4 Cu 5 O 10 (F O) 2,{},"{'Ba': 2, 'Ca': 4, 'Cu': 5, 'O': 12, 'F': 2}",52.0,0.0,,,10.1143/jpsj.80.043706
Ba 2 Ca 4 Cu 5 O 10 (F O) 2,{},"{'Ba': 2, 'Ca': 4, 'Cu': 5, 'O': 12, 'F': 2}",52.0,0.0,,,10.1143/jpsj.80.043706
Pr Fe As O 0.9,{},"{'Pr': 1, 'Fe': 1, 'As': 1, 'O': 0.9}",35.0,0.0,single crystalline,,10.1103/physrevlett.105.267002
Nd Fe As O 0.9 F 0.1,{},"{'Nd': 1, 'Fe': 1, 'As': 1, 'O': 0.9, 'F': 0.1}",36.0,0.0,,,10.1103/physrevlett.105.267002
Ba 0.45 K 0.55 Fe 2 As 2,{},"{'Ba': 0.45, 'K': 0.55, 'Fe': 2, 'As': 2}",34.0,0.0,,,10.1103/physrevlett.105.267002
Ba 0.6 K 0.4 Fe 2 As 2,{},"{'Ba': 0.6, 'K': 0.4, 'Fe': 2, 'As': 2}",37.0,0.0,,,10.1088/0953-2048/28/6/060201
Ir Te 2,{},"{'Ir': 1, 'Te': 2}",3.1,0.0,,,10.7566/jpsj.83.033701
Fe Te 0.5 Se 0.5,{},"{'Fe': 1, 'Te': 0.5, 'Se': 0.5}",14.0,0.0,,,10.1103/physrevb.81.100513
Fe Te 0.5 Se 0.5,{},"{'Fe': 1, 'Te': 0.5, 'Se': 0.5}",14.0,0.0,single crystal,,10.1103/physrevb.81.100513
Fe Te 0.5 Se 0.5,{},"{'Fe': 1, 'Te': 0.5, 'Se': 0.5}",14.0,0.0,,,10.1103/physrevb.81.100513
Li P H 6,{},"{'Li': 1, 'P': 1, 'H': 6}",100.0,200.0,,,
Pt Si,{},"{'Pt': 1, 'Si': 1}",0.88,0.0,,,10.1134/1.1881727
La Fe As O,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1}",26.0,0.0,,,10.1143/jpsj.78.023701
La Fe As O,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1}",43.0,0.0,,,10.1143/jpsj.78.023701
La Fe P O,{},"{'La': 1, 'Fe': 1, 'P': 1, 'O': 1}",8.8,0.8,,,10.1143/jpsj.78.023701
Mg O,{},"{'Mg': 1, 'O': 1}",21.0,0.0,,,10.1143/apex.4.013103
Hg Ba 2 Cu O 4+δ,{'δ': []},,97.0,0.0,,,10.1103/physrevb.75.054522
K 0.68 Fe 1.79 Se 2,{},"{'K': 0.68, 'Fe': 1.79, 'Se': 2}",32.0,0.0,,,10.1103/physrevb.83.140508
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1103/physrevb.83.140508
Tl x Fe 2-y Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1103/physrevb.83.140508
Cs x Fe 2-y Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1103/physrevb.83.140508
Rb x Fe 2-y Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1103/physrevb.83.140508
K 0.68 Fe 1.79 Se 2,{},"{'K': 0.68, 'Fe': 1.79, 'Se': 2}",32.0,0.0,,,10.1103/physrevb.83.140508
Be B 2.75,{},"{'Be': 1, 'B': 2.75}",0.72,0.0,,,10.1103/physrevb.65.180518
Be B 2,{},"{'Be': 1, 'B': 2}",5.0,0.0,,,10.1103/physrevb.65.180518
B,{},{'B': 1},0.79,0.0,,,10.1103/physrevb.65.180518
La 2-x Sr x Cu O 4,{'x': []},,40.0,0.0,,,10.1103/revmodphys.78.17
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1103/physrevb.66.012509
Ir 2 Ga 9,{},"{'Ir': 2, 'Ga': 9}",2.2,0.0,,,10.1143/jpsj.78.025003
Ce Co In 5,{},"{'Ce': 1, 'Co': 1, 'In': 5}",2.1,1.6,,,10.1103/physrevlett.89.157004
Pb,{},{'Pb': 1},15.0,0.0,,,10.1103/physrevlett.89.157004
Fe Se 1-x,{'x': []},,8.0,0.0,,,10.1063/1.3590753
Fe Te 1-x,{'x': []},,8.0,0.0,,,10.1063/1.3590753
La O 1-x Fe As F x,{'x': []},,26.0,0.0,,,10.1063/1.3590753
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",18.0,0.0,,,10.1063/1.3590753
Eu As Fe O 0.85 F 0.15,{},"{'Eu': 1, 'As': 1, 'Fe': 1, 'O': 0.85, 'F': 0.15}",11.3,0.0,,,10.1063/1.3590753
Ba 1-x K x,{'x': []},,38.0,0.0,,,10.1063/1.3590753
Eu As Fe O 0.85 F 0.15,{},"{'Eu': 1, 'As': 1, 'Fe': 1, 'O': 0.85, 'F': 0.15}",11.3,0.0,,,10.1063/1.3590753
(Ba K) Fe 2 As 2,{},"{'Ba': 1, 'K': 1, 'Fe': 2, 'As': 2}",32.0,0.0,single crystalline,,10.1063/1.3590753
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",4.0,0.0,crystal,,10.1088/0953-2048/23/7/075001
Bi 2 Sr 2 Ca 2 Cu 3 O 10,{},"{'Bi': 2, 'Sr': 2, 'Ca': 2, 'Cu': 3, 'O': 10}",110.0,0.0,,,10.1088/0953-2048/23/7/075001
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",18.0,0.0,,,10.1155/2010/804343
La O Fe As,{},"{'La': 1, 'O': 1, 'Fe': 1, 'As': 1}",26.0,0.0,,,10.1155/2010/804343
Ba Fe 2 As 2,{},"{'Ba': 1, 'Fe': 2, 'As': 2}",38.0,0.0,,,10.1155/2010/804343
Re O 1-x F x Fe As,{'x': []},,50.0,0.0,,,10.1155/2010/804343
Na Fe As,{},"{'Na': 1, 'Fe': 1, 'As': 1}",9.0,0.0,,,10.1155/2010/804343
Na Fe As,{},"{'Na': 1, 'Fe': 1, 'As': 1}",1.0,0.0,,,10.1155/2010/804343
Ca 0.7 Sr 0.3 Al Si,{},"{'Ca': 0.7, 'Sr': 0.3, 'Al': 1, 'Si': 1}",6.0,0.0,,,
Sr Al Si,{},"{'Sr': 1, 'Al': 1, 'Si': 1}",4.2,0.0,,,
Ca Al Si,{},"{'Ca': 1, 'Al': 1, 'Si': 1}",1.5,0.0,,,
Sr Al Si,{},"{'Sr': 1, 'Al': 1, 'Si': 1}",4.9,0.0,,,
Ca C 6,{},"{'Ca': 1, 'C': 6}",11.0,0.0,,,
Ca Al Si,{},"{'Ca': 1, 'Al': 1, 'Si': 1}",7.7,0.0,,,
Yb C 6,{},"{'Yb': 1, 'C': 6}",6.5,8.0,,,
Ca 0.7 Sr 0.3 Al Si,{},"{'Ca': 0.7, 'Sr': 0.3, 'Al': 1, 'Si': 1}",10.0,0.0,,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,
Fe Se,{},"{'Fe': 1, 'Se': 1}",50.0,0.0,,SrTiO 3,10.1002/pssb.201600153
Fe Se,{},"{'Fe': 1, 'Se': 1}",1.0,0.0,,,10.1002/pssb.201600153
(Bi Pb) 2 (Sr La) 2 Cu O 6+δ,{'δ': []},,29.0,0.0,single crystalline,,10.1103/physrevlett.101.227002
Bi 2 Sr 2 Cu O 6,{},"{'Bi': 2, 'Sr': 2, 'Cu': 1, 'O': 6}",29.0,0.0,single-crystalline,,10.1103/physrevlett.101.227002
(Bi Pb) 2 (Sr La) 2 Cu O 6+δ,{'δ': []},,29.0,0.0,single crystalline,,10.1103/physrevlett.101.227002
Bi 2 Sr 2 Cu O 6,{},"{'Bi': 2, 'Sr': 2, 'Cu': 1, 'O': 6}",27.0,0.0,,,10.1103/physrevlett.101.227002
K 2 Cr 3 As 3,{},"{'K': 2, 'Cr': 3, 'As': 3}",6.1,0.0,,,10.1103/physrevb.91.220505
Cs 2 Cr 3 As 3,{},"{'Cs': 2, 'Cr': 3, 'As': 3}",2.2,0.0,,,10.1103/physrevb.91.220505
Rb 2 Cr 3 As 3,{},"{'Rb': 2, 'Cr': 3, 'As': 3}",4.8,0.0,,,10.1103/physrevb.91.220505
Hg Ba 2 Ca 2 Cu 3 O 8,{},"{'Hg': 1, 'Ba': 2, 'Ca': 2, 'Cu': 3, 'O': 8}",135.0,0.0,,,10.1103/physrevlett.97.236401
Gd 2 Ti 2 O 7,{},"{'Gd': 2, 'Ti': 2, 'O': 7}",0.97,0.0,,,10.1143/jpsj.71.599
Er 2 Ti 2 O 7,{},"{'Er': 2, 'Ti': 2, 'O': 7}",0.97,0.0,,,10.1143/jpsj.71.599
Yb 2 Ti 2 O 7,{},"{'Yb': 2, 'Ti': 2, 'O': 7}",0.97,0.0,,,10.1143/jpsj.71.599
Gd 2 Ti 2 O 7,{},"{'Gd': 2, 'Ti': 2, 'O': 7}",0.97,0.0,,,10.1143/jpsj.71.599
Er 2 Ti 2 O 7,{},"{'Er': 2, 'Ti': 2, 'O': 7}",0.97,0.0,,,10.1143/jpsj.71.599
Yb 2 Ti 2 O 7,{},"{'Yb': 2, 'Ti': 2, 'O': 7}",0.97,0.0,,,10.1143/jpsj.71.599
Gd 2 Ti 2 O 7,{},"{'Gd': 2, 'Ti': 2, 'O': 7}",0.97,0.0,,,10.1143/jpsj.71.599
Er 2 Ti 2 O 7,{},"{'Er': 2, 'Ti': 2, 'O': 7}",0.97,0.0,,,10.1143/jpsj.71.599
Gd 2 Ti 2 O 7,{},"{'Gd': 2, 'Ti': 2, 'O': 7}",0.97,0.0,,,10.1143/jpsj.71.599
Er 2 Ti 2 O 7,{},"{'Er': 2, 'Ti': 2, 'O': 7}",0.97,0.0,,,10.1143/jpsj.71.599
In 0.91 Mn 0.09,{},"{'In': 0.91, 'Mn': 0.09}",55.0,0.0,,,10.1109/lechpd.2002.1146769
Th Cr 2 Si 2,{},"{'Th': 1, 'Cr': 2, 'Si': 2}",38.0,0.0,,,
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",18.0,0.0,,,
Na V 2 O 5,{},"{'Na': 1, 'V': 2, 'O': 5}",34.0,0.0,,,10.1103/physrevb.64.241103
Tl 2 Ba 2 Cu O 6+δ,{'δ': []},,21.5,0.0,,,
Bi 2 Sr 2-x La x Cu O 6+δ,"{'δ': [], 'x': []}",,21.5,0.0,,,
Bi 2 Sr 2 Cu O 6+δ,{'δ': []},,11.5,0.0,,,
K Os 2 O 6,{},"{'K': 1, 'Os': 2, 'O': 6}",9.6,0.0,,,
Cs Rb,{},"{'Cs': 1, 'Rb': 1}",3.3,0.0,,,10.1088/0953-8984/19/14/145283
K Os 2 O 6,{},"{'K': 1, 'Os': 2, 'O': 6}",9.6,0.0,,,10.1088/0953-8984/19/14/145283
V 3 Si,{},"{'V': 3, 'Si': 1}",17.0,0.0,,,10.1088/0953-8984/19/14/145283
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",87.0,0.0,,,10.1103/physrevb.63.224516
Cs 2 Mo 3 As 3,{},"{'Cs': 2, 'Mo': 3, 'As': 3}",11.5,0.0,,,10.1016/j.scib.2018.06.011
K 2 Mo 3 As 3,{},"{'K': 2, 'Mo': 3, 'As': 3}",10.4,0.0,,,10.1016/j.scib.2018.06.011
Pb Mo 6 S 8,{},"{'Pb': 1, 'Mo': 6, 'S': 8}",15.0,0.0,,,10.1016/j.scib.2018.06.011
K 2 Mo 3 As 3,{},"{'K': 2, 'Mo': 3, 'As': 3}",10.4,0.0,,,10.1016/j.scib.2018.06.011
Rb 2 Mo 3 As 3,{},"{'Rb': 2, 'Mo': 3, 'As': 3}",10.6,0.0,,,10.1016/j.scib.2018.06.011
K 2 Mo 3 As 3,{},"{'K': 2, 'Mo': 3, 'As': 3}",10.4,0.0,,,10.1016/j.scib.2018.06.011
K 2 Mo 3 As 3,{},"{'K': 2, 'Mo': 3, 'As': 3}",0.3,0.0,,,10.1016/j.scib.2018.06.011
K 2 Mo 3 As 3,{},"{'K': 2, 'Mo': 3, 'As': 3}",10.4,0.0,,,10.1016/j.scib.2018.06.011
Al,{},{'Al': 1},1.2,0.0,thin films,,10.1103/physrevapplied.11.024061
U Rh Ge,{},"{'U': 1, 'Rh': 1, 'Ge': 1}",9.5,0.0,,,10.1103/physrevb.96.094411
La Ru 2 P 2,{},"{'La': 1, 'Ru': 2, 'P': 2}",4.0,0.0,,,10.1103/physrevlett.108.257005
(Ba K) Fe 2 As 2,{},"{'Ba': 1, 'K': 1, 'Fe': 2, 'As': 2}",36.0,0.0,,,10.1103/physrevb.101.094516
Ca Fe 2 As 2,{},"{'Ca': 1, 'Fe': 2, 'As': 2}",43.0,0.0,,,10.1088/0953-2048/25/4/045007
La Fe As O,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1}",26.0,0.0,,,10.1088/0953-2048/25/4/045007
Ca 1-x Re x Fe 2 As 2,{'x': []},,40.0,0.0,single crystal,,10.1088/0953-2048/25/4/045007
Ca 1-x Ce x Fe 2 As 2,{'x': []},,43.0,0.0,,,10.1088/0953-2048/25/4/045007
Fe As,{},"{'Fe': 1, 'As': 1}",43.0,0.0,,,10.1088/0953-2048/25/4/045007
Ba 1-x K x Fe 2 As 2,{'x': []},,38.0,0.0,,,10.1088/0953-2048/25/4/045007
Ca Fe 2 As 2,{},"{'Ca': 1, 'Fe': 2, 'As': 2}",40.0,0.0,single crystals,,10.1088/0953-2048/25/4/045007
Ca Fe 2 As 2,{},"{'Ca': 1, 'Fe': 2, 'As': 2}",45.0,0.0,,,10.1088/0953-2048/25/4/045007
Ca 1-x Pr x Fe 2 As 2,{'x': []},,43.5,0.0,,,10.1088/0953-2048/25/4/045007
Bi 2 Sr 2 Cu O 6,{},"{'Bi': 2, 'Sr': 2, 'Cu': 1, 'O': 6}",40.0,0.0,,,10.1142/s0217979291000791
Ce Co In 5,{},"{'Ce': 1, 'Co': 1, 'In': 5}",2.3,0.0,,,10.1103/physrevb.77.165129
Ce Co In 5,{},"{'Ce': 1, 'Co': 1, 'In': 5}",0.9,0.0,,,10.1103/physrevb.77.165129
H 2,{},{'H': 2},1.0,0.0,,,10.1063/1.1537460
N 2,{},{'N': 2},1.0,0.0,,,10.1063/1.1537460
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1063/1.1537460
Ca Be Si,{},"{'Ca': 1, 'Be': 1, 'Si': 1}",2.0,0.0,,,
Na Al Si,{},"{'Na': 1, 'Al': 1, 'Si': 1}",7.0,0.0,,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,
Pb Cu,{},"{'Pb': 1, 'Cu': 1}",7.2,0.0,,,10.1142/s0218271812500381
Ce Co In 5,{},"{'Ce': 1, 'Co': 1, 'In': 5}",2.3,0.0,,,10.1103/physrevb.99.035136
Rb 3 C 60,{},"{'Rb': 3, 'C': 60}",30.0,0.0,,,10.1103/physrevb.66.054532
Cs Eu Fe 4 As 4,{},"{'Cs': 1, 'Eu': 1, 'Fe': 4, 'As': 4}",35.2,0.0,,,10.1007/s11434-016-1139-2
Fe Se,{},"{'Fe': 1, 'Se': 1}",4.3,0.0,,,10.1038/s41535-017-0019-6
As Fe S,{},"{'As': 1, 'Fe': 1, 'S': 1}",4.3,0.0,single crystals,,10.1038/s41535-017-0019-6
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1103/physrevb.80.094501
Nb,{},{'Nb': 1},9.2,0.0,,,10.1103/physrevb.68.224504
La O Ni As,{},"{'La': 1, 'O': 1, 'Ni': 1, 'As': 1}",2.75,0.0,,,10.1016/s0277-5387(00)83891-7
Ba Ni 2 As,{},"{'Ba': 1, 'Ni': 2, 'As': 1}",0.7,0.0,,,10.1016/s0277-5387(00)83891-7
La O Ni P,{},"{'La': 1, 'O': 1, 'Ni': 1, 'P': 1}",3.0,0.0,,,10.1016/s0277-5387(00)83891-7
Sm Fe As O 1-x F x,{'x': []},,56.0,0.0,,,10.1016/s0277-5387(00)83891-7
Nd Fe As O 1-x F x,{'x': []},,56.0,0.0,,,10.1016/s0277-5387(00)83891-7
Pr Fe As O 1-x F x,{'x': []},,56.0,0.0,,,10.1016/s0277-5387(00)83891-7
Ta,{},{'Ta': 1},0.5,0.0,film,,
Al,{},{'Al': 1},1.2,0.0,,,
Y Ba 2 Cu 3 O 6+x,{'x': []},,93.0,0.0,,,10.1103/physrevlett.88.057003
La O Fe As 1-x F,{'x': []},,26.0,0.0,,,
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,,,
Fe Se,{},"{'Fe': 1, 'Se': 1}",55.0,0.0,,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,
Ce Fe As O 0.89 F 0.1,{},"{'Ce': 1, 'Fe': 1, 'As': 1, 'O': 0.89, 'F': 0.1}",41.0,0.0,,,10.1038/nature07058
Sm Fe As O 0.89 F 0.1,{},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 0.89, 'F': 0.1}",43.0,0.0,,,10.1038/nature07058
Nd Fe As O 0.89 F 0.1,{},"{'Nd': 1, 'Fe': 1, 'As': 1, 'O': 0.89, 'F': 0.1}",52.0,0.0,,,10.1038/nature07058
La Fe As O 0.89 F 0.1,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 0.89, 'F': 0.1}",26.0,0.0,,,10.1038/nature07058
La Fe As O F 0.11,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1, 'F': 0.11}",52.0,0.0,,,10.1038/nature07058
Nb 3 Sn,{},"{'Nb': 3, 'Sn': 1}",90.0,0.0,,,10.1103/physrevapplied.5.024001
Fe Se,{},"{'Fe': 1, 'Se': 1}",34.0,7.0,single crystal,,10.1063/1.4885473
Fe Se,{},"{'Fe': 1, 'Se': 1}",13.5,1.48,,,10.1063/1.4885473
Ce Ir In 5,{},"{'Ce': 1, 'Ir': 1, 'In': 5}",0.4,0.0,,,10.1103/physrevlett.100.207003
Ce Ir In 5,{},"{'Ce': 1, 'Ir': 1, 'In': 5}",1.0,3.0,,,10.1103/physrevlett.100.207003
Bi,{},{'Bi': 1},95.0,0.0,,,10.1007/978-94-007-6618-1_21
Nb N,{},"{'Nb': 1, 'N': 1}",15.0,0.0,,,10.1103/physrevb.85.014505
Ca C 6,{},"{'Ca': 1, 'C': 6}",6.5,0.0,,,10.1103/physrevb.77.024507
K C 8,{},"{'K': 1, 'C': 8}",0.14,0.0,,,10.1103/physrevb.77.024507
Na C 2,{},"{'Na': 1, 'C': 2}",5.0,0.0,,,10.1103/physrevb.77.024507
K Tl 1.5 C 5,{},"{'K': 1, 'Tl': 1.5, 'C': 5}",2.7,0.0,,,10.1103/physrevb.77.024507
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1109/tasc.2003.812213
Mg B 2,{},"{'Mg': 1, 'B': 2}",41.7,0.0,"films, single crystals",,10.1109/tasc.2003.812213
Mg B 2,{},"{'Mg': 1, 'B': 2}",37.5,0.0,films,,10.1109/tasc.2003.812213
Zn,{},{'Zn': 1},3.4,0.0,,,10.1103/physrevb.77.245307
H 3 S,{},"{'H': 3, 'S': 1}",200.0,170.0,,,10.1007/s10948-019-05277-4
H 3 S,{},"{'H': 3, 'S': 1}",203.0,250.0,,,10.1007/s10948-019-05277-4
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1088/0953-8984/26/49/493202
La Ni C 2,{},"{'La': 1, 'Ni': 1, 'C': 2}",2.7,0.0,,,10.1016/j.physc.2014.01.008
Na Fe As,{},"{'Na': 1, 'Fe': 1, 'As': 1}",140.0,0.0,,,10.1088/1367-2630/14/7/073019
Nd Ni O 2,{},"{'Nd': 1, 'Ni': 1, 'O': 2}",14.9,0.0,thin films,SrTiO 3,10.1103/physrevb.101.020501
Nd 0.8 Sr 0.2 Ni O 2,{},"{'Nd': 0.8, 'Sr': 0.2, 'Ni': 1, 'O': 2}",15.0,0.0,,,10.1103/physrevb.101.020501
Bi 2 Se 3,{},"{'Bi': 2, 'Se': 3}",3.8,0.0,,,10.1209/0295-5075/109/67006
Cu,{},{'Cu': 1},3.8,0.0,,,10.1209/0295-5075/109/67006
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,,,
Y Ba 2 Cu 3 O 7-y,{'y': []},,89.5,0.0,,,10.1134/1.1387523
H 3 S,{},"{'H': 3, 'S': 1}",180.0,200.0,,,10.1140/epjb/e2016-70020-0
Lu B 12,{},"{'Lu': 1, 'B': 12}",0.42,0.0,,,
Zr B 12,{},"{'Zr': 1, 'B': 12}",6.0,0.0,single crystals,,
Zr B 12,{},"{'Zr': 1, 'B': 12}",6.0,0.0,,,
Lu B 12,{},"{'Lu': 1, 'B': 12}",0.42,0.0,,,
La O 0.7 F 0.3 Bi S 2,{},"{'La': 1, 'O': 0.7, 'F': 0.3, 'Bi': 1, 'S': 2}",2.5,0.0,,,10.7566/jpsj.86.054701
Y Ba 2 Cu 3 O 7,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 7}",89.0,0.0,,,
Ba Fe 2-x Pt x As 2,"{'x': [0.1, 0.02]}","{'Ba': 1, 'Fe': 1.9, 'Pt': 0.1, 'As': 2}",25.0,0.0,,,10.1103/physrevb.81.104525
(Ba Sr) 1-x K x Fe 2 As 2,{'x': [0.4]},"{'Ba': 0.6, 'Sr': 0.6, 'K': 0.4, 'Fe': 2, 'As': 2}",38.0,0.0,,,10.1103/physrevb.81.104525
Ba Fe 2 As 2,{},"{'Ba': 1, 'Fe': 2, 'As': 2}",25.0,0.0,,,10.1103/physrevb.81.104525
Ba Fe 2-x Pt x As 2,"{'x': [0.1, 0.02]}","{'Ba': 1, 'Fe': 1.9, 'Pt': 0.1, 'As': 2}",25.0,0.0,,,10.1103/physrevb.81.104525
